"day_of_week","month_of_year","start_time","end_time","period_type","pricing_type"
2,9,"11:00","16:59",Ete,HC
2,9,"17:00","23:59",Ete,HP
3,9,"00:00","10:59",Ete,HP
3,9,"11:00","16:59",Ete,HC
3,9,"17:00","23:59",Ete,HP
4,9,"00:00","10:59",Ete,HP
4,9,"11:00","16:59",Ete,HC
4,9,"17:00","23:59",Ete,HP
5,9,"00:00","10:59",Ete,HP
5,9,"11:00","16:59",Ete,HC
5,9,"17:00","23:59",Ete,HP
6,9,"00:00","23:59",Ete,HC
0,9,"00:00","23:59",Ete,HC
1,10,"00:00","10:59",Ete,HP
1,10,"11:00","16:59",Ete,HC
1,10,"17:00","23:59",Ete,HP
2,10,"00:00","10:59",Ete,HP
2,10,"11:00","16:59",Ete,HC
2,10,"17:00","23:59",Ete,HP
3,10,"00:00","10:59",Ete,HP
3,10,"11:00","16:59",Ete,HC
3,10,"17:00","23:59",Ete,HP
4,10,"00:00","10:59",Ete,HP
4,10,"11:00","16:59",Ete,HC
4,10,"17:00","23:59",Ete,HP
5,10,"00:00","10:59",Ete,HP
5,10,"11:00","16:59",Ete,HC
5,10,"17:00","23:59",Ete,HP
6,10,"00:00","23:59",Ete,HC
0,10,"00:00","23:59",Ete,HC
1,11,"00:00","06:59",Hiver,HC
1,11,"07:00","12:59",Hiver,HP
1,11,"13:00","15:59",Hiver,HC
1,11,"16:00","23:59",Hiver,HP
2,11,"00:00","06:59",Hiver,HC
2,11,"07:00","12:59",Hiver,HP
2,11,"13:00","15:59",Hiver,HC
2,11,"16:00","23:59",Hiver,HP
3,11,"00:00","06:59",Hiver,HC
3,11,"07:00","12:59",Hiver,HP
3,11,"13:00","15:59",Hiver,HC
3,11,"16:00","23:59",Hiver,HP
4,11,"00:00","06:59",Hiver,HC
4,11,"07:00","12:59",Hiver,HP
4,11,"13:00","15:59",Hiver,HC
4,11,"16:00","23:59",Hiver,HP
5,11,"00:00","06:59",Hiver,HC
5,11,"07:00","12:59",Hiver,HP
5,11,"13:00","15:59",Hiver,HC
5,11,"16:00","23:59",Hiver,HP
